IdResponsavel,NomeResponsavel,IdUnidade,CodigoLeitora,DataNascimento,Sexo,TipoProrrogacaoEmDescontoPorAntecipacao,StFuncionario,EstadoCivil,NaturalidadeCidade,NaturalidadeUF,Nacionalidade,StFalecido
2,Responsável 1,1,,,,P,False,5,,,,False
3,Responsável 2,1,,1990-06-30 00:00:00,F,P,False,1,,,Brasileiro,False
4,Responsável 3,1,,1984-09-27 00:00:00,F,P,False,1,,,Brasileiro,False
5,Responsável 4,1,,,,P,False,1,,,,False
6,Responsável 5,1,,,,P,False,1,,,,False
7,Responsável 6,1,,,,P,False,0,,,,False
8,Responsável 7,1,,,,P,False,1,,,,False
9,Responsável 8,1,,,,P,False,1,,,,False
10,Responsável 9,1,,,,P,False,5,,,,False
11,Responsável 10,1,,,,P,False,6,,,,False
12,Responsável 11,1,,,,P,False,0,,,,False
13,Responsável 12,1,,,,P,False,4,,,,False
14,Responsável 13,1,,,,P,False,4,,,,False
15,Responsável 14,1,,,,P,False,1,,,,False
16,Responsável 15,1,,,,P,False,0,,,,False
17,Responsável 16,1,,,,P,False,5,,,,False
18,Responsável 17,1,,,,P,False,1,,,,False
19,Responsável 18,1,,,,P,False,1,,,,False
20,Responsável 19,1,,,,P,False,1,,,,False
21,Responsável 20,1,,,,P,False,1,,,,False
22,Responsável 21,1,,,,P,False,0,,,,False
23,Responsável 22,1,,,,P,False,1,,,,False
24,Responsável 23,1,,,,P,False,1,,,,False
25,Responsável 24,1,,,,P,False,4,,,,False
26,Responsável 25,1,,,,P,False,1,,,,False
27,Responsável 26,1,,,,P,False,5,,,,False
28,Responsável 27,1,,,,P,False,1,,,,False
29,Responsável 28,1,,,,P,False,6,,,,False
30,Responsável 29,1,,,,P,False,1,,,,False
31,Responsável 30,1,,,,P,False,6,,,,False
32,Responsável 31,1,,,,P,False,1,,,,False
33,Responsável 32,1,,,,P,False,0,,,,False
34,Responsável 33,1,,,,P,False,6,,,,False
35,Responsável 34,1,,,,P,False,0,,,,False
36,Responsável 35,1,,,,P,False,5,,,,False
37,Responsável 36,1,,,,P,False,5,,,,False
38,Responsável 37,1,,,,P,False,0,,,,False
39,Responsável 38,1,,,,P,False,5,,,,False
40,Responsável 39,1,,,,P,False,5,,,,False
41,Responsável 40,1,,,,P,False,6,,,,False
42,Responsável 41,1,,,,P,False,5,,,,False
43,Responsável 42,1,,,,P,False,4,,,,False
44,Responsável 43,1,,,,P,False,0,,,,False
45,Responsável 44,1,,,,P,False,0,,,,False
